"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"509",1,4,4,4,2,1,1,1,4
"510",2,4,4,4,2,1,1,1,4
"511",3,4,4,4,2,1,1,1,4
"512",4,4,4,4,2,1,1,1,4
"513",1,1,1,1,3,1,1,1,2
"514",2,1,1,1,3,1,1,1,2
"515",3,1,1,1,3,1,1,1,3
"516",4,1,1,1,3,1,1,1,4
"517",1,2,1,1,3,1,1,1,2
"518",2,2,1,1,3,1,1,1,2
"519",3,2,1,1,3,1,1,1,3
"520",4,2,1,1,3,1,1,1,4
"521",1,3,1,1,3,1,1,1,3
"522",2,3,1,1,3,1,1,1,3
"523",3,3,1,1,3,1,1,1,3
"524",4,3,1,1,3,1,1,1,4
"525",1,4,1,1,3,1,1,1,4
"526",2,4,1,1,3,1,1,1,4
"527",3,4,1,1,3,1,1,1,4
"528",4,4,1,1,3,1,1,1,4
"529",1,1,2,1,3,1,1,1,2
"530",2,1,2,1,3,1,1,1,2
"531",3,1,2,1,3,1,1,1,3
"532",4,1,2,1,3,1,1,1,4
"533",1,2,2,1,3,1,1,1,2
"534",2,2,2,1,3,1,1,1,2
"535",3,2,2,1,3,1,1,1,3
"536",4,2,2,1,3,1,1,1,4
"537",1,3,2,1,3,1,1,1,3
"538",2,3,2,1,3,1,1,1,3
"539",3,3,2,1,3,1,1,1,3
"540",4,3,2,1,3,1,1,1,4
"541",1,4,2,1,3,1,1,1,4
"542",2,4,2,1,3,1,1,1,4
"543",3,4,2,1,3,1,1,1,4
"544",4,4,2,1,3,1,1,1,4
"545",1,1,3,1,3,1,1,1,3
"546",2,1,3,1,3,1,1,1,3
"547",3,1,3,1,3,1,1,1,3
"548",4,1,3,1,3,1,1,1,4
"549",1,2,3,1,3,1,1,1,3
"550",2,2,3,1,3,1,1,1,3
"551",3,2,3,1,3,1,1,1,3
"552",4,2,3,1,3,1,1,1,4
"553",1,3,3,1,3,1,1,1,3
"554",2,3,3,1,3,1,1,1,3
"555",3,3,3,1,3,1,1,1,3
"556",4,3,3,1,3,1,1,1,4
"557",1,4,3,1,3,1,1,1,4
"558",2,4,3,1,3,1,1,1,4
"559",3,4,3,1,3,1,1,1,4
"560",4,4,3,1,3,1,1,1,4
"561",1,1,4,1,3,1,1,1,4
"562",2,1,4,1,3,1,1,1,4
"563",3,1,4,1,3,1,1,1,4
"564",4,1,4,1,3,1,1,1,4
"565",1,2,4,1,3,1,1,1,4
"566",2,2,4,1,3,1,1,1,4
"567",3,2,4,1,3,1,1,1,4
"568",4,2,4,1,3,1,1,1,4
"569",1,3,4,1,3,1,1,1,4
"570",2,3,4,1,3,1,1,1,4
"571",3,3,4,1,3,1,1,1,4
"572",4,3,4,1,3,1,1,1,4
"573",1,4,4,1,3,1,1,1,4
"574",2,4,4,1,3,1,1,1,4
"575",3,4,4,1,3,1,1,1,4
"576",4,4,4,1,3,1,1,1,4
"577",1,1,1,2,3,1,1,1,2
"578",2,1,1,2,3,1,1,1,2
"579",3,1,1,2,3,1,1,1,3
"580",4,1,1,2,3,1,1,1,4
"581",1,2,1,2,3,1,1,1,2
"582",2,2,1,2,3,1,1,1,2
"583",3,2,1,2,3,1,1,1,3
"584",4,2,1,2,3,1,1,1,4
"585",1,3,1,2,3,1,1,1,3
"586",2,3,1,2,3,1,1,1,3
"587",3,3,1,2,3,1,1,1,3
"588",4,3,1,2,3,1,1,1,4
"589",1,4,1,2,3,1,1,1,4
"590",2,4,1,2,3,1,1,1,4
"591",3,4,1,2,3,1,1,1,4
"592",4,4,1,2,3,1,1,1,4
"593",1,1,2,2,3,1,1,1,2
"594",2,1,2,2,3,1,1,1,2
"595",3,1,2,2,3,1,1,1,3
"596",4,1,2,2,3,1,1,1,4
"597",1,2,2,2,3,1,1,1,2
"598",2,2,2,2,3,1,1,1,2
"599",3,2,2,2,3,1,1,1,3
"600",4,2,2,2,3,1,1,1,4
"601",1,3,2,2,3,1,1,1,3
"602",2,3,2,2,3,1,1,1,3
"603",3,3,2,2,3,1,1,1,3
"604",4,3,2,2,3,1,1,1,4
"605",1,4,2,2,3,1,1,1,4
"606",2,4,2,2,3,1,1,1,4
"607",3,4,2,2,3,1,1,1,4
"608",4,4,2,2,3,1,1,1,4
"609",1,1,3,2,3,1,1,1,3
"610",2,1,3,2,3,1,1,1,3
"611",3,1,3,2,3,1,1,1,3
"612",4,1,3,2,3,1,1,1,4
"613",1,2,3,2,3,1,1,1,3
"614",2,2,3,2,3,1,1,1,3
"615",3,2,3,2,3,1,1,1,3
"616",4,2,3,2,3,1,1,1,4
"617",1,3,3,2,3,1,1,1,3
"618",2,3,3,2,3,1,1,1,3
"619",3,3,3,2,3,1,1,1,3
"620",4,3,3,2,3,1,1,1,4
"621",1,4,3,2,3,1,1,1,4
